42,28,332,26,333,56,42,58
90,146,207,140,208,157,91,164
128,124,262,120,263,138,129,142
127,194,230,193,230,209,127,211
347,29,468,28,468,56,347,57
293,124,365,122,365,138,293,141
301,103,365,102,365,118,301,119
79,218,141,216,142,229,79,231
31,236,105,234,105,250,31,251
484,195,553,196,553,211,484,210
81,99,156,102,155,118,81,115
104,235,166,234,166,249,104,250
169,102,285,104,285,119,169,117
135,218,199,215,199,229,136,232
180,217,231,216,231,230,181,231
27,144,82,142,83,158,28,160
28,216,72,215,72,230,28,231
385,195,444,193,444,209,385,211
435,216,496,214,497,229,435,231
257,236,339,234,340,248,258,251
452,102,512,103,512,119,452,118
399,102,453,103,453,118,399,117
31,102,72,102,72,119,31,118
251,216,319,214,319,229,251,232
370,125,439,122,440,137,371,141
313,194,386,195,385,211,313,210
27,124,72,123,72,139,28,139
28,195,74,194,74,210,28,211
69,195,117,194,117,209,69,210
232,194,306,196,306,211,232,210
445,196,486,195,486,211,446,212
325,216,420,215,421,230,325,231
445,123,510,122,510,137,445,138
170,235,213,234,213,249,170,250
219,235,252,235,252,249,219,250
216,215,266,216,266,232,215,231
367,102,402,102,402,118,367,118
